BALANCE_FREQUENCY,ONEOFF_PURCHASES,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,MINIMUM_PAYMENTS,TENURE
1,202.8,0.083333,0.166667,295.417192,12
0.727273,555.73,0.333333,0.833333,2016.24126,12
1,655.74,0.416667,0.083333,217.989591,12
1,567,0.083333,0.416667,175.169946,12
1,0,0,1,168.599543,12
1,257,0.083333,0,63.502182,12
1,578.06,0.25,0.916667,1672.557449,12
1,0,0,0.833333,200.518843,12
0.545455,589.1,0.416667,0.083333,166.929549,12
0.833333,0,0,0.5,851.11955,6
0.545455,0,0,0,111.691332,12
1,0,0,1,162.610445,12
1,346,0.333333,1,249.300419,12
1,691.66,0.333333,0,263.711559,12
1,0,0,0,745.905341,12
1,146,0.166667,1,184.935623,12
0.272727,0,0,0,512.58683,12
1,0,0,0,613.232178,12
1,801.1,0.833333,1,176.119649,12
0.727273,0,0,0,234.068674,12
1,720.6,1,0,3.19794,12
1,160.5,0.25,0.083333,236.976635,12
0.727273,0,0,0,200.076565,11
1,0,0,0,933.115539,11
0.363636,65,0.083333,0.083333,55.354917,12
0.909091,0,0,0.333333,162.510564,12
1,81.84,0.083333,0,968.791469,12
1,500.75,0.5,0.833333,218.063393,12
0.272727,0,0,0.166667,177.669243,12
1,0,0,0,243.18864,12
1,959.22,0.666667,0.555556,324.838245,9
0.272727,325.8,0.083333,0,136.804417,12
0.8,2619.7,0.6,0,330.428974,10
0.545455,91.63,0.083333,0.5,168.259829,12
1,1884.04,0.416667,0,164.460238,12
1,974.72,1,0,921.981349,12
1,0,0,0.75,151.236269,12
1,0,0,1,1834.623457,12
1,138.54,0.166667,0.666667,215.056881,12
0.857143,0,0,0.714286,99.058125,7
0.363636,1234.32,0.083333,0,110.578379,12
0.909091,0,0,1,34.528026,12
0.363636,0,0,0,57.570471,12
1,238.97,0.083333,0.166667,175.583266,12
1,150,0.083333,0,689.616683,12
1,99.5,0.166667,0,2518.208896,12
1,66,0.083333,0,566.549873,12
1,1352.63,0.571429,0.857143,1824.646248,7
1,170,0.166667,0,210.984965,12
1,0,0,0.181818,434.689529,11
0.714286,960,0.142857,0,146.202669,7
1,537.36,1,0,185.212377,12
0.545455,0,0,0.333333,177.572305,12
1,0,0,1,183.52695,12
1,0,0,0,393.651962,12
1,1916.68,0.75,1,391.089257,12
1,133.9,0.166667,0,320.855529,12
1,5896.76,1,0.916667,206.69023,12
1,201.18,1,0,137.173328,12
0.909091,0,0,1,149.269198,12
1,128.32,0.083333,0,297.228184,12
1,0,0,0.833333,1014.159287,12
1,251.05,0.666667,0.833333,237.529082,12
1,2311.83,0.916667,0,1143.572365,12
0.909091,2003.99,0.916667,0.916667,41.854466,12
0.888889,80.99,0.111111,0,149.615036,9
1,0,0,0,1274.924905,12
1,1732.87,0.416667,0.75,188.187607,12
1,239.45,0.25,0.083333,353.918592,12
1,639.15,0.416667,0,270.736901,12
0.875,0,0,0,375.854321,8
0.272727,17945,0.166667,0,1149.747342,12
0.636364,672,0.166667,0.416667,1396.253288,12
0.545455,0,0,0.5,97.363421,12
1,0,0,0,1978.26824,12
1,0,0,0.875,108.523334,8
1,210.64,0.083333,0,176.886468,12
1,212,0.083333,0,47.139699,12
1,129,0.083333,0,200.845446,12
1,229.94,0.25,0,394.172631,12
0.818182,370.5,0.083333,0.75,154.476891,12
1,220.4,0.083333,0,441.951462,12
0.363636,129.16,0.166667,0,135.625973,12
1,2945.5,0.333333,0.916667,2794.373573,12
1,240,0.166667,0,1020.099462,12
1,0,0,0.166667,249.335824,12
1,2974,0.833333,1,176.856716,12
1,0,0,0,439.318862,12
1,0,0,0,217.425205,6
1,182.64,0.333333,0,347.685591,12
1,78.81,0.2,0.6,412.394326,10
0.909091,1744.63,0.75,0.583333,167.725809,12
1,0,0,0,1166.814409,12
1,27.89,0.083333,0,517.115912,12
1,79.41,0.166667,0,264.329249,12
1,0,0,1,845.861144,12
1,1076.16,0.5,0.416667,652.773095,12
0.454545,608.8,0.333333,0,133.914917,12
0.7,448,0.2,0.5,85.608786,10
1,540.36,0.416667,0.333333,254.640736,12
1,0,0,0,2044.554634,12
1,85,0.083333,0.666667,747.662321,12
0.454545,1310.31,0.083333,0,1227.013099,12
1,0,0,0,2946.488163,12
1,0,0,0,290.949378,12
0.545455,240.25,0.5,0,110.128101,12
0.454545,69.5,0.083333,0,62.529499,12
1,561.25,0.5,0,962.397668,12
1,914.19,0.416667,0.416667,602.380043,12
0.636364,137.9,0.083333,0.5,76.110182,12
0.818182,0,0,0.666667,132.96663,12
0.909091,6398.73,0.583333,0,183.239025,12
0.454545,0,0,0.25,89.613822,12
1,0,0,0.25,292.596739,12
1,0,0,0,752.177841,10
1,1182.2,0.083333,1,856.787065,12
1,0,0,0.333333,670.323657,12
1,2940.9,1,1,183.73478,12
0.727273,84,0.083333,0.583333,199.880942,12
1,0,0,0,96.03536,12
1,834.8,0.5,0.833333,156.101823,12
1,210.62,0.166667,0,442.117237,12
1,408.01,1,0,175.422323,12
1,1338.72,1,0,1290.972218,12
1,1119.56,0.333333,0,467.408433,12
1,0,0,0,183.96848,12
0.454545,0,0,0,155.681898,12
1,1131.42,0.083333,1,4623.542177,12
0.818182,0,0,1,82.263245,12
0.636364,0,0,0,122.902765,12
0.909091,0,0,0,366.406015,12
1,0,0,0.916667,180.755765,12
0.181818,37,0.083333,0,82.249496,12
1,13007.07,1,1,410.800069,12
1,0,0,1,16638.3541,12
1,1193.06,0.916667,0.75,1207.45351,12
1,2098.97,0.833333,0.916667,289.062155,12
1,0,0,0,309.461738,12
1,2495,0.75,0.166667,883.173758,12
1,361,0.166667,1,438.620932,12
1,0,0,0.916667,166.187653,12
1,785.05,0.5,0.083333,227.955037,12
1,449.1,0.333333,1,189.152731,12
1,55,0.083333,0.333333,381.650944,12
1,0,0,0.25,355.119488,12
0.818182,139.7,0.083333,0.083333,92.360868,12
1,0,0,0,1683.087205,12
1,8218.32,0.75,0,1338.187189,12
1,1203.18,0.666667,1,210.770458,12
0.909091,177.35,0.090909,0,1724.337874,11
1,4640.84,0.666667,1,1133.733957,12
1,0,0,0.916667,175.78115,12
1,509.95,0.25,0.083333,368.290985,12
1,0,0,0,252.620346,12
1,43,0.083333,0,287.394907,12
1,806.07,0.166667,0.5,340.568669,12
0.5,0,0,0,59.169474,8
0.1,2190,0.1,0,,10
1,0,0,0.25,2668.340809,12
0.181818,75,0.083333,0,130.752133,12
0.272727,494.6,0.083333,0,19.131945,12
0.727273,851.38,0.416667,0,71.093469,12
0.727273,81,0.083333,0.083333,132.449236,12
1,0,0,0,2710.882339,12
0.888889,1179.8,0.333333,0.222222,717.268682,9
1,0,0,0,413.345954,12
1,450,0.5,0,181.630966,12
1,0,0,0,684.16893,10
1,0,0,0.166667,2330.665551,12
0.818182,0,0,0,648.459886,12
1,64.2,0.083333,0,957.631664,12
0.636364,284.11,0.166667,0,265.343044,12
1,0,0,0,229.658625,12
1,28,0.083333,0.75,1146.800921,12
0.818182,497.8,0.166667,0.416667,146.809491,12
0.909091,0,0,0.75,138.949382,12
1,0,0,0,319.230878,12
1,6454.25,1,0.083333,221.688527,12
0.545455,311.55,0.166667,0,86.934441,12
0.727273,0,0,0.416667,262.219868,12
1,150.32,0.25,0.75,144.171824,12
0.727273,0,0,0,162.659753,12
1,0,0,0.416667,201.610785,12
0.333333,0,0,0,1.334075,9
1,1787.77,0.5,0.666667,685.860574,12
1,0,0,0.875,135.473963,8
0.545455,299.84,0.416667,0,116.058011,12
1,445.18,1,0,775.381032,11
1,0,0,0,686.833751,12
0.7,91.46,0.2,0,46.086964,10
1,1043.25,0.75,1,208.822523,12
1,0,0,0.583333,2670.980121,12
0.545455,0,0,0.666667,101.527469,12
0.545455,970.57,0.5,0,123.734011,12
1,900,0.083333,0.666667,360.944075,12
0.636364,249,0.166667,0.416667,174.443043,12
0.727273,264.02,0.25,0,55.272081,12
1,96,0.083333,0.25,634.093114,12
1,0,0,0,131.179377,12
0.888889,813,0.222222,0.777778,4538.542583,9
1,1300.48,0.333333,0.5,734.982596,12
1,119.12,0.083333,0.666667,2439.534576,12
1,0,0,0,549.725344,12
1,0,0,0.25,209.589155,12
1,67.86,0.166667,1,92.437942,12
1,0,0,0.833333,151.126893,12
1,0,0,0.454545,173.571302,11
1,1326,1,1,1942.567564,12
1,0,0,0,602.277885,12
0,0,0,1,,12
1,0,0,0,351.642621,12
1,0,0,0.75,4010.894978,12
1,0,0,0,404.435634,12
1,0,0,0,226.855527,12
1,0,0,0,773.302151,12
0.818182,1398.57,0.333333,0.666667,181.388411,12
1,0,0,0.333333,539.15281,12
1,561.9,0.166667,0.666667,318.083871,12
1,0,0,0.916667,556.905288,12
1,0,0,0,2529.713215,12
0.909091,0,0,1,134.186632,12
1,101.85,0.166667,1,264.908262,12
1,3249.14,0.666667,0.916667,812.766517,12
1,0,0,0,1223.070301,12
1,0,0,1,178.836103,12
0.545455,2351.58,0.25,0,162.638519,12
1,651,0.583333,1,1476.718269,12
1,0,0,1,76406.20752,12
0.909091,0,0,0,359.715011,12
1,2324.38,1,0.916667,298.614416,12
1,815.15,0.083333,0.833333,242.28511,12
0.555556,0,0,0,183.18233,9
1,0,0,1,177.457989,12
1,3247.26,0.583333,0.666667,1246.026053,12
1,197.05,0.166667,1,1330.385356,12
1,0,0,0,1013.177624,12
1,0,0,0.25,82.129945,12
1,0,0,0.7,122.653219,10
1,1165,0.583333,1,628.433833,12
1,335,0.083333,0.166667,482.831701,12
1,2825.56,1,0.666667,1205.692287,12
1,79,0.083333,0,213.991077,12
0.272727,305.79,0.090909,0,41.54037,11
1,397,0.166667,0.833333,769.568121,12
1,841.59,0.25,0.5,624.9314,12
1,487.27,0.25,0.416667,735.695479,12
0.454545,0,0,0.916667,49.080612,12
1,1240.04,0.75,0,2726.278972,12
1,697.94,0.583333,1,325.34638,12
1,49.89,0.2,0,330.552082,10
0.727273,326.64,0.166667,0,589.095389,12
1,0,0,0,415.210454,10
0,0,0,0.083333,,12
1,0,0,0,276.874306,12
1,1432.86,0.916667,1,183.251598,12
1,0,0,0,254.04276,12
0.181818,99,0.083333,0,13.60646,12
1,1517.85,0.272727,0,1085.111218,11
0.875,0,0,0.75,65.920948,8
1,71.8,0.083333,0,415.236204,12
1,3669.72,1,0,217.919829,12
1,0,0,0,375.080858,12
1,324.3,0.083333,0,1302.96803,12
1,0,0,0,168.363818,12
0.363636,0,0,0,671.319778,12
0.181818,0,0,0,54.765004,12
1,765.8,1,0.583333,718.558976,12
0.454545,0,0,0.25,111.554771,12
1,285.69,0.25,0,421.667803,12
1,94,0.083333,0,456.550057,12
1,0,0,0,3178.835456,12
0.818182,330.25,0.25,0,134.968858,12
1,308.26,0.25,0.166667,663.87709,12
1,1062.44,0.5,0.916667,306.442797,12
1,0,0,0,173.790575,12
1,0,0,1,915.822464,12
1,0,0,0.25,1596.597441,12
1,0,0,0,3897.073997,12
0.818182,402.79,1,0.666667,133.121651,12
1,2457.47,0.833333,1,197.28441,12
1,0,0,0,315.206825,12
0.818182,0,0,0.416667,129.321856,12
1,0,0,0,217.361776,12
1,0,0,0.666667,166.714261,12
0.545455,158.2,0.083333,0,559.387332,12
1,480,0.166667,0.916667,518.201767,12
0.818182,68,0.083333,0,709.872779,12
1,1900.63,0.75,0,786.205716,12
1,540.65,0.909091,0.636364,2522.629723,11
1,0,0,0.75,207.644586,12
1,0,0,0,938.580888,12
1,1972.22,0.5,1,301.821505,12
1,709.01,1,0,170.422207,12
0.875,56,0.125,0,413.255193,8
0.818182,328.7,0.333333,0,935.303835,12
1,425.62,0.166667,0.583333,336.850732,12
1,139.19,0.083333,0.333333,1196.937133,12
1,530,0.5,1,172.233875,12
1,0,0,0.416667,647.111708,12
0.818182,0,0,1,2.891346,12
1,0,0,0,699.416582,12
1,1170.48,0.416667,0,247.32444,12
0.636364,150,0.083333,0.416667,147.707838,12
0.818182,0,0,0,292.838637,12
1,0,0,0,231.115707,12
1,0.01,0.083333,0,1998.26387,12
0.555556,0,0,0,473.168189,9
1,898.14,0.666667,1,175.475265,12
1,2473.8,1,1,218.502255,12
1,2000,0.111111,0,348.836471,9
1,0,0,0,225.711121,12
0.818182,1045.84,0.333333,0,171.522214,12
0.833333,0,0,0,216.751158,6
1,0,0,1,50260.75947,12
0.636364,30,0.083333,0.833333,21.095616,12
1,1250.3,0.666667,1,930.608759,12
1,1832.92,0.5,0,231.1444,12
1,1799.03,0.833333,0,215.536534,12
1,277.95,0.25,0.75,175.28579,12
0.857143,165.5,0.285714,0,481.804214,7
0.857143,69,0.142857,0.714286,673.698985,7
1,169.2,0.083333,0.583333,195.611673,12
0.636364,0,0,0.583333,94.901424,12
1,0,0,0.916667,867.218309,12
1,0,0,1,150.108154,12
1,188.6,0.083333,0,1452.249653,12
1,0,0,1,174.343817,12
1,1545.23,0.25,0.666667,661.487315,12
1,0,0,0,1977.876309,12
1,227.44,1,0,191.312297,12
1,0,0,0,1227.092304,12
1,580.44,1,1,177.605867,12
1,0,0,1,2912.794724,12
1,521.14,0.5,0.5,1011.025921,12
0.909091,0,0,0.454545,130.741607,11
1,0,0,0,225.238271,12
1,0,0,0,685.291892,12
1,113.31,0.333333,1,980.845115,12
1,200,0.142857,0.857143,430.485462,7
1,762.5,0.333333,0.666667,539.880492,12
1,0,0,0,5255.006819,12
1,479,0.083333,0.416667,1116.032132,12
1,0,0,0.333333,81.263818,12
1,0,0,0,171.809634,12
1,0,0,0.25,522.252346,12
1,0,0,0,1449.354152,12
0.909091,149.93,0.166667,0.5,153.842106,12
1,0,0,0,715.614697,12
1,0,0,1,162.732686,12
0.909091,0,0,0,271.728487,12
1,505.48,0.333333,0,302.43456,12
0.727273,0,0,0.083333,207.134146,12
1,952.51,1,0.833333,209.435975,12
1,153.95,0.333333,0,365.472319,12
0.166667,69.9,0.166667,0.5,81.433073,6
1,831.89,0.166667,0,457.75848,12
1,6075.62,0.833333,0.666667,2207.068883,12
1,0,0,0,2302.022679,12
1,2372.98,0.166667,0,874.537967,12
0.818182,5742.61,0.666667,0.416667,271.788449,12
1,0,0,0,1918.555864,10
1,124.72,0.083333,1,187.489659,12
0.727273,350,0.083333,0,175.629153,12
1,0,0,0.916667,168.805075,12
1,0,0,0,428.150067,12
1,188.56,0.083333,0.416667,4903.859993,12
1,3091.01,1,1,1617.014574,12
0.636364,1174.39,0.454545,0.181818,139.902685,11
1,572.76,1,1,190.766768,12
1,2102.46,0.916667,0.416667,173.164117,12
0.909091,1242,0.333333,0.5,330.828719,12
1,208.41,0.083333,0,154.96528,12
0.363636,27.99,0.083333,0,56.066059,12
1,0,0,1,166.81518,12
0.090909,0,0,0.333333,66.187935,12
1,0,0,0,1322.626868,12
0.727273,0,0,0.583333,130.725349,12
1,0,0,0,1026.510864,12
1,0,0,0.416667,422.371745,12
1,0,0,0,148.87441,12
0.727273,354,0.083333,0,217.875105,12
1,1301.26,0.25,0.083333,632.472511,12
1,0,0,1,2256.318292,12
1,3610.6,0.583333,0.083333,864.045134,12
0.363636,0,0,0,410.666163,12
0.545455,586.55,0.333333,0.333333,147.859998,12
1,1364.34,1,0.416667,1485.721729,12
1,0,0,0.916667,228.365901,12
1,0,0,0.75,1458.363763,12
0.545455,0,0,0.416667,65.554557,12
0.875,157.4,0.125,0,2638.59841,8
1,0,0,1,7912.050279,12
1,462.75,1,0,170.274498,12
1,11146.28,1,0.416667,237.006434,12
0.363636,909,0.083333,0,55.410769,12
0.363636,872.7,0.333333,0,44.981723,12
0.333333,27.98,0.111111,0,154.349034,9
1,245.59,0.181818,0.636364,489.842903,11
1,0,0,0.916667,617.276328,12
1,0,0,0.416667,321.319929,12
1,0,0,0,493.392656,12
1,1377.06,0.75,0.416667,629.237655,12
0.875,0,0,0.625,96.495473,8
1,4126.75,1,0,1113.256834,12
1,3809.71,1,0,238.075524,12
0.818182,2953.03,0.166667,0,118.209566,12
1,397.61,0.166667,0.75,477.542826,12
1,49.09,0.166667,0,189.159601,12
1,667,0.416667,0.583333,189.406063,12
1,1792.15,0.333333,0,2184.394699,12
1,278.6,0.25,0.833333,2569.377585,12
1,0,0,0,935.585513,12
0.833333,0,0,0.5,65.250637,6
1,1076.01,0.25,0,2608.291402,12
0.636364,160,0.083333,0,94.411065,12
0.666667,0,0,0,113.220269,6
1,507,0.166667,0,8644.138069,12
1,0,0,0,236.90696,12
0.727273,451.18,0.583333,0.083333,120.742325,12
1,212.64,0.083333,0,2669.122014,12
1,453.12,0.333333,0,1067.666256,12
1,0,0,0,553.243869,12
1,0,0,0,1147.376672,12
0.818182,1027.14,0.333333,0.25,128.626652,12
1,829.45,1,0.25,210.906103,12
1,348,0.083333,0,419.016946,12
1,1342.69,1,0.75,164.864181,12
1,1500,0.416667,0,1436.215703,12
1,1423.71,1,0,423.078833,12
0.363636,104.5,0.083333,0.166667,142.198683,12
0.875,223.38,0.25,0.375,1523.155003,8
1,0,0,0,1588.441785,12
1,0,0,1,1134.632482,12
1,159,0.083333,0,2568.327034,12
0.818182,0,0,0,5.03821,12
1,84.45,0.166667,1,2983.977594,12
1,226,0.333333,0.666667,2410.701385,12
0.818182,2411.53,1,0.363636,103.773786,11
1,0,0,0,1044.358428,12
1,206,0.083333,1,150.495102,12
0.363636,525.17,0.083333,0,37.409861,12
0.818182,955.87,0.5,0,99.945036,12
1,0,0,0,599.972398,12
0.363636,169.24,0.083333,0,42.777345,12
1,0,0,0.875,116.355394,8
1,110.8,0.166667,0,565.627471,12
1,0,0,0,274.518511,12
0.727273,0,0,0.5,101.894341,12
1,390,0.083333,0,2729.078978,12
1,1326,0.75,0.916667,2764.780103,12
1,0,0,0.416667,1361.538435,12
0.181818,345.29,0.083333,0,,12
1,482.31,0.333333,0.583333,261.521082,12
1,0,0,0,12449.67391,12
1,0,0,0.5,462.345834,12
1,75.87,0.083333,0,544.816677,12
0.272727,0,0,0,248.788237,12
1,0,0,1,164.248719,12
1,0,0,0,469.620367,12
0.857143,750.19,0.714286,0,95.901909,7
1,0,0,0,1069.874481,12
1,2548.47,1,0.416667,388.363232,12
1,200,0.083333,0,290.977264,12
1,0,0,0,974.797056,12
1,431.52,1,0,182.596244,12
1,468.65,0.333333,1,422.043729,12
0.8,387.66,0.7,0,174.40662,10
1,0,0,1,135.392627,12
1,0,0,0,3654.599824,12
1,1102.4,0.5,1,1494.385566,12
1,0,0,0,1571.575974,12
0.363636,0,0,0.083333,166.879157,12
0.909091,0,0,0.666667,204.315088,12
1,747.62,0.166667,0,215.800967,12
1,0,0,0,155.060934,12
1,0,0,0.416667,448.013699,12
0.727273,119,0.083333,0.75,161.692199,12
1,0,0,0,2642.808941,12
0.454545,3649.83,0.25,0,164.503829,12
0.454545,297.4,0.25,0,173.255085,12
0,0,0,0.083333,,12
1,1034.03,1,0.916667,193.531249,12
1,0,0,0.416667,67.789985,12
1,333.2,0.25,0.083333,1589.293892,12
1,607.4,0.166667,0.666667,181.476998,12
0.727273,659,0.25,0.333333,159.17308,12
1,0,0,0,423.779107,11
0.818182,1140.5,0.583333,0.416667,239.059144,12
0.363636,0,0,0,9.550733,12
1,95.84,0.083333,1,4255.297059,12
0.909091,2170.37,0.636364,0.545455,144.195071,11
0.909091,0,0,0,1246.208875,11
1,0,0,1,170.113751,12
1,0,0,0,1698.5381,12
1,725.6,0.916667,0.916667,204.619343,12
1,626.69,0.166667,0,311.637186,12
0.909091,1142.96,0.833333,0.666667,154.583752,12
1,0,0,0,1295.228551,12
1,0,0,0,216.195821,12
1,170,0.083333,1,189.433393,12
0.111111,0,0,0,,9
1,393.49,0.166667,0,213.548011,12
1,0,0,0.666667,2308.020257,12
0.636364,0,0,0.916667,85.99372,12
0.181818,0,0,0,332.480788,12
1,0,0,0,1043.148468,12
1,0,0,0.833333,170.492035,12
1,0,0,0,477.001326,12
1,2161.22,0.75,0,148.790482,12
1,0,0,0,25697.63772,12
1,0,0,1,194.026175,12
1,0,0,0,673.513777,12
1,1449.92,0.333333,1,385.003688,12
1,796.74,0.142857,0.714286,252.66907,7
1,0,0,0.25,384.449529,12
1,0,0,0,1454.215974,12
1,715.81,0.333333,0,724.758705,12
1,1203.69,0.5,0.5,149.966517,10
0.636364,0,0,0.5,44.25482,12
1,0,0,1,2149.990102,12
1,201,0.083333,0.166667,183.50739,12
1,0,0,0.833333,141.652641,12
1,86.9,0.083333,0,210.961925,12
1,1424.87,0.5,0.5,204.877516,12
0.909091,140,0.083333,0.666667,56.937337,12
1,0,0,1,1230.452069,12
1,0,0,0,519.49072,12
0.857143,0,0,0.714286,1517.202791,7
1,1380,0.333333,0.333333,177.124786,12
0.545455,354,0.166667,0,211.04268,12
1,745.82,0.25,0.166667,110.486344,12
1,361,0.166667,0.583333,139.685178,12
0.909091,175,0.166667,0,223.193529,12
1,0,0,0.166667,331.10383,12
1,0,0,0.9,131.349565,10
1,0,0,0,473.448279,12
1,0,0,0,837.7785,12
1,0,0,0,825.529474,12
1,1554.89,0.416667,0.083333,486.702058,12
1,0,0,0,515.520727,12
0.181818,0,0,0.083333,175.836378,12
1,0,0,0,217.958559,12
0.454545,0,0,0,114.91159,12
1,607,0.916667,0,906.697643,12
0.727273,1027.64,0.5,0,106.407569,12
1,0,0,0,405.72085,12
1,0,0,0.416667,229.157988,12
1,2154.34,0.75,0.083333,184.805024,12
0.090909,0,0,0.083333,,12
0.666667,480,0.666667,0,86.542118,6
1,0,0,0.583333,935.878792,12
0.833333,140,0.166667,0.666667,3231.905456,6
1,0,0,0,598.910658,12
0.857143,0,0,0,257.650259,7
0.909091,84.8,0.083333,0.583333,135.26688,12
1,0,0,0,429.217423,12
0.272727,0,0,0.166667,124.16248,12
1,865.78,1,0.583333,948.702747,12
1,2931.91,0.333333,1,1879.122243,12
1,717.24,1,0,3843.924668,12
1,3000.97,0.666667,1,232.694923,12
1,548.79,0.583333,0,852.200705,12
1,0,0,0.416667,276.484296,12
1,2961.8,0.916667,1,520.454965,12
1,115.5,0.166667,0,356.432463,12
1,0,0,0,1076.233929,12
1,345.3,0.166667,0,2784.103858,12
1,818.73,0.5,0.25,592.444909,12
1,0,0,0,4974.373221,12
0.636364,0,0,0.545455,108.827629,11
1,248.75,0.166667,0,562.654151,12
1,0,0,0,1633.85526,12
1,0,0,0.416667,1704.533297,12
1,0,0,0.333333,2670.210603,12
1,0,0,0,97.986182,7
1,0,0,0,1789.614843,12
1,0,0,1,943.46896,12
1,447.6,0.166667,0.75,279.421489,12
1,0,0,0.875,111.312954,8
1,0,0,0.416667,212.119486,12
1,825.89,0.833333,0.333333,344.205824,12
0.545455,0,0,0,684.647727,12
1,13,0.083333,0.416667,174.71331,12
0.636364,0,0,0.5,173.58488,12
1,290.6,1,0,170.973738,12
1,519.79,0.583333,0,436.088187,12
0.636364,70,0.083333,0,178.912575,12
1,0,0,0.833333,179.698273,12
1,0,0,0,921.100658,12
1,0,0,0,226.016919,12
1,0,0,0,927.057881,12
1,0,0,0,600.297574,12
1,0,0,1,179.077671,12
0.454545,1071.7,0.083333,0.25,80.470536,12
1,0,0,0,1562.665426,12
0.9,920.54,0.8,0.8,960.131857,10
1,0,0,0,194.539211,12
1,189.85,0.333333,0,100.687061,12
1,0,0,0,1605.355165,12
0.181818,0,0,0,11.51534,12
1,3531.24,0.416667,0.75,1583.370963,12
1,0,0,0,655.620366,12
1,210.7,0.416667,0.666667,164.106431,12
1,0,0,0,308.017569,12
1,500.39,0.25,0.666667,3049.937917,12
1,0,0,0,4814.853217,12
1,0,0,0.090909,208.367436,11
1,2094.44,0.583333,1,5573.463031,12
1,0,0,0,640.261805,12
1,1339.26,0.416667,0.833333,462.419982,12
1,2123.9,0.25,1,427.14706,12
1,1420.58,0.75,0.833333,960.856638,12
0.636364,229.48,0.25,0,132.864883,12
0.818182,84,0.166667,0.5,185.502626,12
1,997.29,0.333333,1,387.473541,12
0.818182,971.2,0.166667,0,124.779308,12
0.636364,0,0,0,159.136566,12
0.454545,98.83,0.454545,0,145.320085,11
1,0,0,0,316.230814,12
0.545455,4440.8,0.583333,0,119.097785,12
0.909091,0,0,0,334.635642,11
1,0,0,0.416667,893.368255,12
1,0,0,0,551.721679,12
1,305.6,0.166667,0,1602.370029,12
1,313.08,1,1,182.23728,12
1,273.94,0.181818,0.909091,148.914581,11
1,669.9,0.416667,0.083333,647.309788,12
1,0,0,0,607.334479,12
0.181818,368.47,0.083333,0,167.4688,12
0.272727,50,0.083333,0,162.04957,12
1,0,0,0.416667,861.298259,12
1,0,0,0,362.96484,8
0,0,0,0.583333,,12
1,0,0,0,228.206218,12
0.727273,992.88,0.416667,0,148.537836,12
1,4939.1,0.666667,0,5234.368383,12
1,0,0,0.25,492.588377,12
0.363636,99,0.333333,0,85.643203,12
1,0,0,0.888889,122.280528,9
1,0,0,0,329.166007,12
0.818182,33.6,0.083333,0.083333,93.628909,12
0.9,2517.43,0.9,0.6,558.834333,10
1,48.78,0.083333,0,259.3518,12
1,1468.1,0.833333,0,110.071016,12
0.909091,0,0,0.583333,632.198197,12
0.363636,25.69,0.083333,0,128.336305,12
1,385.29,0.333333,0.5,213.8837,12
1,0,0,0,2164.447843,12
0.909091,1974,0.416667,0.583333,774.60303,12
0.818182,230,0.166667,0,271.562248,12
0.545455,0,0,0.416667,222.654608,12
0.333333,0,0,0,,6
1,349.12,0.25,0,163.463142,12
1,344.91,0.166667,0.416667,161.467632,12
1,0,0,0,910.703762,12
0.5,111.7,0.125,0.125,118.313994,8
1,45.65,0.083333,0,456.016895,12
0.181818,242.9,0.083333,0,174.958496,12
1,0,0,0,765.099049,12
1,400.19,1,0,177.221407,12
0.7,0,0,0.1,148.330512,10
1,203.96,0.333333,0.25,369.130795,12
0.454545,0,0,0,173.667325,12
1,0,0,0,1310.022633,11
1,0,0,1,598.649198,12
1,0,0,0,755.249544,12
1,374.64,0.083333,0.833333,988.408977,12
1,243,0.333333,0,919.446681,12
1,165,0.083333,0.75,184.635553,12
1,0,0,0,185.379277,12
1,0,0,0.333333,337.959338,12
1,763.82,0.333333,0.666667,244.198717,12
1,257.34,0.166667,0.166667,189.1629,12
1,0,0,1,1046.955311,12
0.833333,844.99,0.833333,0.666667,191.069553,6
1,0,0,1,2256.223464,12
1,830.45,0.416667,0,239.606651,12
1,507,0.333333,1,1375.326986,12
1,540,0.083333,0,1147.961544,12
1,1990.05,1,1,186.295633,12
1,278.48,0.25,1,794.825011,12
1,7841.79,1,1,235.88019,12
0.333333,405.93,0.111111,0,165.599724,9
1,0,0,0.833333,174.799517,12
0.909091,190,0.083333,0,331.294133,12
1,0,0,0.833333,69.3025,6
1,0,0,0,250.571856,12
1,0,0,0,2108.574767,12
0.571429,0,0,0,39.551362,7
0.636364,0,0,0,369.688294,12
0.636364,0,0,0.583333,125.684033,12
1,1321.52,0.25,0,264.030133,12
1,872.64,0.833333,0.416667,212.082883,12
0.545455,0,0,0.583333,100.53897,12
0.545455,284.29,0.25,0.25,195.006921,12
1,200,0.083333,0.916667,173.221204,12
1,1823.02,0.416667,0.916667,244.279734,12
0.909091,0,0,0,545.874795,11
0.363636,456.7,0.25,0,163.340754,12
1,69,0.083333,0.416667,280.482025,12
1,306.18,0.083333,0.916667,324.863481,12
1,0,0,0.083333,206.637191,12
1,0,0,0,1031.5915,12
0.909091,289.3,0.25,0.166667,172.765035,12
1,0,0,0.916667,162.258275,12
0.818182,270,0.083333,0.083333,122.063597,12
0.636364,0,0,0.416667,104.5487,12
1,979.99,0.166667,0.5,1262.016427,12
0.727273,0,0,0.416667,166.102478,12
1,435.04,0.916667,0,847.988773,12
0.545455,0,0,0.5,162.175915,12
0.909091,1614.64,0.583333,0.083333,81.667964,12
1,0,0,0.545455,210.538977,11
